ID,Month,Construction,Req_Finish_Fabrics,Fabric_Allowance,Rec_Beam_length(yds),Shrink_allow,act_shrink%,Previous_pdn,Req_grey_fabric,Req_beam_length(yds),Total_pdn_m/c,Rej_and_cut_Piece,Total_pdn_per_order,warp_count,weft_count,epi,ppi
13178-2,June,40x40/120x80,2956,7.0,3652.624,12.5,74.40196418,TOTAL,3178.494624,3321.658087,935.0,5,418,40,40,120,80
13178-3,June,40x40/120x80,2780,7.0,3406.564,12.5,87.87634696,292,2989.247312,3123.886834,413.0,0,0,40,40,120,80
13178-3,June,40x40/120x80,2780,7.0,3406.564,12.5,na,,2989.247312,3123.886834,,0,0,40,40,120,80
13178-3,June,40x40/120x80,2780,7.0,3406.564,12.5,87.87634696,TOTAL,2989.247312,3123.886834,413.0,0,109,40,40,120,80
13179-1,June,20x20/82x64,1410,10.0,1891.928,17.5,80.39037426,100,1566.666667,1736.457479,371.0,0,0,20,20,82,64
13179-1,June,20x20/82x64,1410,10.0,1891.928,17.5,na,,1566.666667,1736.457479,,0,0,20,20,82,64
13179-1,June,20x20/82x64,1410,10.0,1891.928,17.5,80.39037426,TOTAL,1566.666667,1736.457479,371.0,6,67,20,20,82,64
13180-1,June,30+20/2x30/100x60,3357,7.3,4166.616,12.0,95.27194251,18,3621.359223,3762.967205,197.0,0,0,double,30,100,60
13180-1,June,30+20/2x30/100x60,3357,7.3,4166.616,12.0,na,,3621.359223,3762.967205,,0,0,double,30,100,60
13180-1,June,30+20/2x30/100x60,3357,7.3,4166.616,12.0,95.27194251,TOTAL,3621.359223,3762.967205,197.0,0,0,double,30,100,60
13184-1,June,40x40/120x90,4750,8.0,3062.08,14.5,65.12174731,903,5163.043478,5521.806276,1068.0,0,0,40,40,120,90
13184-1,June,40x40/120x90,4750,8.0,3062.08,14.5,60.64766433,1016,5163.043478,5521.806276,1205.0,0,0,40,40,120,90
13184-1,June,40x40/120x90,4750,8.0,6124.16,14.5,62.88470582,TOTAL,5163.043478,5521.806276,2273.0,11,1567,40,40,120,90
13184-2,June,40x40/120x90,2800,8.0,1820.844,14.5,81.98637555,177,3043.478261,3254.959489,328.0,0,0,40,40,120,90
13184-2,June,40x40/120x90,2800,8.0,1749.76,14.5,84.56931236,86,3043.478261,3254.959489,270.0,0,0,40,40,120,90
13184-2,June,40x40/120x90,2800,8.0,3570.604,14.5,83.25213325,TOTAL,3043.478261,3254.959489,598.0,0,120,40,40,120,90
13184-3,June,40x40/120x90,6120,8.0,2624.64,14.5,75.27279932,491,6652.173913,7114.411454,649.0,0,0,40,40,120,90
13184-3,June,40x40/120x90,6120,8.0,2624.64,14.5,92.49420873,127,6652.173913,7114.411454,197.0,0,0,40,40,120,90
13184-3,June,40x40/120x90,6120,8.0,2624.64,14.5,88.2650573,128,6652.173913,7114.411454,308.0,0,0,40,40,120,90
13184-3,June,40x40/120x90,6120,8.0,7873.92,14.5,85.34402178,TOTAL,6652.173913,7114.411454,1154.0,4,272,40,40,120,90
Exc-Beam,June,40x40/140x90,6120,8.0,492.12,14.5,20.75103633,390,6652.173913,7114.411454,390.0,0,0,40,40,140,90
Exc-Beam,June,40x40/140x90,6120,8.0,492.12,14.5,na,,6652.173913,7114.411454,,0,0,40,40,140,90
Exc-Beam,June,40x40/140x90,6120,8.0,492.12,14.5,20.75103633,TOTAL,6652.173913,7114.411454,390.0,4,4,40,40,140,90
SF-12263,June,40x40/110x90,6120,10.2,136.7,17.0,19.53182151,110,6815.144766,7508.245968,110.0,0,0,40,40,110,90
SF-12263,June,40x40/110x90,6120,10.2,136.7,17.0,na,,6815.144766,7508.245968,,0,0,40,40,110,90
SF-12263,June,40x40/110x90,6120,10.2,136.7,17.0,19.53182151,TOTAL,6815.144766,7508.245968,110.0,0,0,40,40,110,90
SF-13130,June,40x40/120x80,6120,10.2,136.7,17.0,23.92099488,104,6815.144766,7508.245968,104.0,0,0,40,40,120,80
SF-13130,June,40x40/120x80,6120,10.2,136.7,17.0,na,,6815.144766,7508.245968,,0,0,40,40,120,80
SF-13130,June,40x40/120x80,6120,10.2,136.7,17.0,23.92099488,TOTAL,6815.144766,7508.245968,104.0,6,118,40,40,120,80
